fullAddress,PROJECT IRR,expectedIncome,BEDS,BedroomBath,interiorSize,propertyType,totalInvestment,assestPrice,closingCosts,UPFRONT DAO LLC FEES,maintenanceReserve,PROJECTED APPRECIATION,PROJECTED CAP RATE,propertyTaxes,insurance,propertyManagement,ANNUAL DAO LLC ADMINISTRATION AND FILING FEES,netRentPerYear,netRentPerMonth,CUMULATIVE NET CASH FLOW YEAR5,CUMULATIVE APPRECIATION GAIN YEAR5,YOUR INVESTMENT YEAR5,TOTAL INVESTMENT VALUE YEAR5,CUMULATIVE NET CASH FLOW YEAR10,CUMULATIVE APPRECIATION GAIN YEAR10,YOUR INVESTMENT YEAR10,TOTAL INVESTMENT VALUE YEAR10,CUMULATIVE NET CASH FLOW YEAR20,CUMULATIVE APPRECIATION GAIN YEAR20,YOUR INVESTMENT YEAR20,TOTAL INVESTMENT VALUE YEAR20,CUMULATIVE NET CASH FLOW YEAR30,CUMULATIVE APPRECIATION GAIN YEAR30,YOUR INVESTMENT YEAR30,TOTAL INVESTMENT VALUE YEAR30
621 E Le Claire Rd Eldridge  IA 52748,8.60%,6%,0,0,7800,retail,"$2,488,000","$2,320,000","$5,000",$600,"$46,400",2.60%,6%,$0,$0,"$4,635.45",$500,"$149,379.67","$12,448.31",$15,$6.50,$50,$71.50,$30,$13,$50,$93,$60,$26,$50,$136,$90,$39,$50,$179
1248 S Keeler Ave Chicago  IL 60623,8.11%,4.21%,7,4,3198,fourplex,"$409,089.33","$386,600","$2,518.50",$600,"$18,762.27",3.90%,4.21%,"$1,397.04","$2,386","$1,536",$500,"$36,480.96","$3,040.08",$3.56,$9.50,$48.70,$61.75,$7.11,$18.99,$48.70,$74.80,$14.22,$37.99,$48.70,$100.91,$21.33,$56.98,$48.70,$127.01
12627 Franklin Blvd Lakewood  OH 44107,13.16%,10.36%,8,2,3510,duplex,"$317,878.82","$302,000","$3,010",$600,"$12,268.82",2.80%,10.36%,"$4,688.66","$1,428.73",$768,$500,"$32,934.61","$2,744.55",$2.68,$6.63,$47.36,$56.67,$5.35,$13.26,$47.36,$65.97,$10.70,$26.52,$47.36,$84.58,$16.06,$39.78,$47.36,$103.20
7542 & 7656 S Colfax Ave Chicago  IL 60649,10.77%,7.57%,19,9,7950,two 3-unit properties,"$730,287.85","$707,250","$7,000",$600,"$10,262.85",3.20%,7.57%,"$9,920","$4,998","$5,017.82",$500,"$63,912.18","$5,326.02",$15.62,$7.74,$48.36,$71.72,$31.24,$15.48,$48.36,$95.08,$62.48,$30.95,$48.36,$141.79,$93.72,$46.43,$48.36,$188.51
4318 Clybourne Ave Cleveland  OH 44109,7.97%,5.87%,5,3,1834,triplex,"$246,340.09","$217,500","$1,500",$200,$0,2.10%,5.87%,"$4,859.28","$1,367","$2,083.20",$500,"$14,166.52","$1,180.54",$15.67,$5.60,$53.38,$74.65,$31.33,$11.21,$53.38,$95.92,$62.67,$22.42,$53.38,$138.47,$94,$33.63,$53.38,$181.01
1677 Walker Ave Memphis  TN 38114,5.38%,6.68%,4,2,1676,single family,"$204,184.95","$190,000","$1,500",$600,$0,-1.30%,6.68%,"$1,687.22","$1,150.44","$1,026",$500,"$13,636.34","$1,136.36",$16.90,-$3.29,$50.61,$64.22,$33.81,-$6.58,$50.61,$77.84,$67.61,-$13.16,$50.61,$105.07,$101.42,-$19.74,$50.61,$132.29
14720 Ohio Ave Cleveland  OH 44128,8.15%,6.55%,3,1.5,1296,single family,"$130,122.22","$109,000","$1,500",$200,"$3,017.28",1.60%,6.55%,"$1,093.13",$924.06,$960,$500,"$8,522.81",$710.23,$17.75,$4.42,$55.29,$77.46,$35.50,$8.85,$55.29,$99.63,$70.99,$17.69,$55.29,$143.98,$106.49,$26.54,$55.29,$188.32
5630 Morgan Ford Rd St Louis  MO 63116,9.25%,6.65%,2,1.5,704,single family,"$133,672.88","$120,000","$1,500",$600,"$1,980.22",2.60%,6.65%,"$1,422.67",$774,"$1,008",$500,"$8,895.33",$741.28,$16.73,$6.54,$50.32,$73.59,$33.46,$13.08,$50.32,$96.87,$66.93,$26.17,$50.32,$143.41,$100.39,$39.25,$50.32,$189.96
12028 Wade Park Ave Cleveland  OH 44106,9.93%,7.53%,3,1,1350,single family,"$220,092.52","$200,000","$1,500",$600,"$6,560.32",2.40%,7.53%,"$1,020.51",$675,"$1,632",$500,"$16,572","$1,381.00",$19.50,$6.18,$51.52,$77.20,$39,$12.36,$51.52,$102.89,$78,$24.73,$51.52,$154.25,$117,$37.09,$51.52,$205.62
2094 W 34th Place Cleveland  OH 44113,10.73%,7.93%,3,1,1300,single family,"$203,701.09","$192,000","$1,500",$600,"$9,601.09",2.80%,7.93%,"$1,446.04",$664,"$1,632",$500,"$16,157.96","$1,346.50",$19.26,$6.92,$49.45,$75.63,$38.52,$13.85,$49.45,$101.82,$77.04,$27.69,$49.45,$154.19,$115.56,$41.54,$49.45,$206.55
3834 W Polk St Chicago  IL 60624,8.76%,5.66%,9,3,3500,triplex,"$399,124.20","$395,000","$3,500",$600,$308.01,3.10%,5.66%,"$1,397.04","$2,339","$2,449.50",$500,"$34,514.46","$2,876.21",,,,,,,,,,,,,,,,
428 Cross St Akron  OH 44311,6.37%,4.77%,6,3,1936,triplex,"$264,974.88","$220,000","$1,500",$600,"$3,204.48",1.60%,4.77%,"$2,743.94",$976.04,"$1,983.38",$500,"$19,730.68","$1,644.22",$13.47,$4.48,$56,$73.95,$26.94,$8.96,$56,$91.90,$53.87,$17.92,$56,$127.79,$80.81,$26.88,$56,$163.69
640 N Cicero Ave Chicago  IL 60644,13.54%,10.74%,8,4,6000,mixed use,"$446,773.75","$438,500","$4,385",$600,$0,2.80%,10.74%,"$4,546.28","$5,966.33","$3,864",$500,"$47,773.39","$3,981.12",$24.66,$6.43,$45.92,$77.01,$49.32,$12.86,$45.92,$108.10,$98.64,$25.72,$45.92,$170.27,$147.95,$38.57,$45.92,$232.45
3435-3437 Alberta St St. Louis  MO 63118,11.94%,8.84%,4,4,3850,fourplex,"$269,098.28","$242,000","$2,500",$600,$977.30,3.10%,8.84%,"$1,007.01","$1,235","$2,515.20",$500,"$23,782.79","$1,981.90",$21.85,$8.06,$52.03,$81.95,$43.71,$16.13,$52.03,$111.86,$87.41,$32.26,$52.03,$171.70,$131.12,$48.39,$52.03,$231.53
3634 Bosworth Rd Cleveland  OH 44111,7.74%,5.64%,10,10,6505,multi family,"$457,120","$452,000","$4,520",$600,$0,2.10%,5.64%,"$6,449.23","$7,249","$5,717.76",$500,"$43,176.01","$3,598.00",$9.24,$4.84,$46.09,$60.17,$18.48,$9.68,$46.09,$74.25,$36.96,$19.36,$46.09,$102.41,$55.45,$29.04,$46.09,$130.57
809 Kenmore Blvd Akron  Ohio 44314,6.98%,5.78%,5,5,4788,multy family,"$307,895.85","$266,000","$2,620",$600,"$3,027.33",1.20%,5.78%,"$9,873.48","$1,502","$3,080.28",$500,"$22,548.24","$1,879.02",$4.33,$3.15,$52.45,$59.92,$8.65,$6.29,$52.45,$67.40,$17.31,$12.59,$52.45,$82.35,$25.96,$18.88,$52.45,$97.29
Ohio 3 Property Package Akron  Ohio 44117,7.16%,5.73%,9,4.5,4188,two SFRs and one duplex,"$315,955.73","$302,000","$2,260",$600,"$11,095.73",1.43%,5.73%,"$5,817","$2,547","$2,929.08",$500,"$27,970.92","$2,330.91",$13.90,$3.46,$48.34,$65.69,$27.80,$6.91,$48.34,$83.05,$55.59,$13.83,$48.34,$117.76,$83.39,$20.74,$48.34,$152.46
4551 Sunny View Dr Memphis  TN 38127,6.22%,7.12%,3,1,864,single family,"$99,840.62","$84,021","$1,199",$600,"$8,581.69",-0.90%,7.12%,$587.14,$794.62,$548.55,$500,"$7,109.69",$592.47,$19.12,-$2.47,$54.86,$71.51,$38.24,-$4.94,$54.86,$88.16,$76.47,-$9.87,$54.86,$121.46,$114.71,-$14.81,$54.86,$154.76
9919 S Oglesby Ave Chicago  IL 60617,9.89%,8.39%,3,2,1631,single family,"$172,587.02","$158,000","$2,500",$600,$860.89,1.50%,8.39%,"$1,367.59",$629,"$1,026",$500,"$14,477.41","$1,206.45",$21.02,$3.81,$50.77,$75.60,$42.04,$7.62,$50.77,$100.42,$84.08,$15.23,$50.77,$150.08,$126.11,$22.85,$50.77,$199.73
3427 Sturdevant St Davenport  IA 52806,10.03%,8.03%,3,1,1161,single family,"$95,389.84","$87,650","$1,200",$600,"$5,939.84",2%,8.03%,"$1,988.35",$730.75,$945.60,$500,"$7,655.30",$637.94,$18.67,$4.93,$49.33,$72.93,$37.34,$9.87,$49.33,$96.54,$74.69,$19.73,$49.33,$143.75,$112.03,$29.60,$49.33,$190.96
1432 Sara Ave Akron  Ohio 44305,12.44%,10.84%,3,1,1056,single family,"$92,751.83","$84,000","$1,220",$600,"$3,100.34",1.60%,10.84%,$969.24,$753,$924,$500,"$10,053.76",$837.81,$27.16,$4.02,$50.25,$81.43,$54.32,$8.04,$50.25,$112.61,$108.64,$16.08,$50.25,$174.97,$162.96,$24.12,$50.25,$237.33
445 Lipford St Memphis  TN 38112,9.10%,9.50%,4,2,1199,single family,"$134,996.79","$130,000","$2,500",$600,"$1,132.52",-0.40%,9.50%,"$1,141.14","$1,087.68",$948.75,$500,"$12,822.43","$1,068.54",$22.99,-$0.97,$48.41,$70.44,$45.99,-$1.94,$48.41,$92.46,$91.98,-$3.87,$48.41,$136.52,$137.97,-$5.81,$48.41,$180.57
1456 W 85th St Cleveland  OH 44102,6.28%,3.38%,8,3,3400,triplex,"$212,100","$210,000","$1,500",$600,$0,2.90%,3.38%,"$2,270.37","$1,068","$2,587.20",$500,"$25,914.43","$2,159.54",$8.07,$6.92,$47.75,$62.74,$16.14,$13.85,$47.75,$77.74,$32.28,$27.70,$47.75,$107.72,$48.42,$41.54,$47.75,$137.71
8201 Madison Ave Cleveland  Ohio 44102,11.51%,8.61%,12,6,5440,multy family,"$439,474.78","$430,000","$2,500",$600,"$6,374.78",2.90%,8.61%,"$5,584.34","$1,711","$4,315.20",$500,"$37,829.46","$3,152.46",$17.75,$6.80,$46.89,$71.44,$35.50,$13.60,$46.89,$95.98,$70.99,$27.20,$46.89,$145.08,$106.49,$40.79,$46.89,$194.17
4661 Berta Rd Memphis  TN 38109,9.48%,7.38%,2,1,1035,,"$112,738.44","$97,000","$1,500",$0,$0,2.10%,7.38%,"$1,133.91",$668.78,$617.55,$0,"$8,320.09",$693.34,,,,,,,,,,,,,,,,
7757 Lamphere St Detroit  MI 48239,9.52%,9.12%,3,1,797,single family,"$110,351.27","$94,500","$2,500",$600,"$5,394.07",0.40%,9.12%,"$2,663.17",$718.56,"$1,050",$500,"$10,068.27",$839.02,$24.53,$1.07,$53.39,$78.99,$49.07,$2.14,$53.39,$104.59,$98.13,$4.27,$53.39,$155.79,$147.20,$6.41,$53.39,$206.99
1090 Diagonal Rd Akron  Ohio 44320,10.70%,9.20%,3,1,1144,single family,"$91,307.62","$78,000",$790,$600,$0,1.50%,9.20%,"$1,079.10",$619,$798,$500,"$8,403.90",$700.32,$24.65,$4.04,$53.83,$82.52,$49.31,$8.07,$53.83,$111.21,$98.62,$16.15,$53.83,$168.60,$147.92,$24.22,$53.83,$225.98
8143 S Sangamon St Chicago  IL 60620,12.74%,8.94%,8,2,2500,duplex,"$321,396.35","$313,300","$3,500",$600,"$3,412.03",3.80%,8.94%,"$1,806.12","$1,392","$2,032.84",$500,"$28,733.04","$2,394.42",$18.55,$9.11,$47.93,$75.59,$37.10,$18.21,$47.93,$103.24,$74.20,$36.43,$47.93,$158.55,$111.29,$54.64,$47.93,$213.86
7411 Elton Ave Cleveland  Ohio 44102,12.54%,9.64%,3,1,1069,single family,"$118,471.77","$108,500","$1,080",$600,"$4,952.47",2.90%,9.64%,$575.32,$680,"$1,224",$500,"$11,420.68",$951.72,$21.92,$7.29,$50.28,$79.49,$43.84,$14.58,$50.28,$108.71,$87.69,$29.16,$50.28,$167.13,$131.53,$43.74,$50.28,$225.56
9510 Silk Ave  Cleveland  Ohio 44102 Cleveland  Ohio 44109,10.10%,7.60%,4,2,2204,two single family homes,"$163,286.32","$154,500","$2,000",$600,"$6,186.32",2.50%,7.60%,"$1,191.47","$1,452","$2,016",$500,"$20,040.53","$1,670.04",,,,,,,,,,,,,,,,
14320 Granger Rd Maple Heights  Ohio 44137,9.70%,8.20%,3,2,1812,duplex,"$160,499.79","$135,715","$1,357",$600,"$10,916.76",1.50%,8.20%,"$4,556.39",$748,"$1,728",$500,"$13,167.61","$1,097.30",$21.50,$3.97,$52.95,$78.42,$43,$7.94,$52.95,$103.89,$85.99,$15.89,$52.95,$154.83,$128.99,$23.83,$52.95,$205.76
9423 Denison Ave Cleveland  OH 44102,12.35%,9.45%,4,2,2058,duplex,"$178,111.32","$165,000","$1,500",$600,$533.65,2.90%,9.45%,"$1,825.61",$887.08,"$1,780.80",$500,"$16,066.51","$1,338.88",$23.99,$7.34,$50.61,$81.94,$47.98,$14.68,$50.61,$113.27,$95.96,$29.35,$50.61,$175.92,$143.93,$44.03,$50.61,$238.58
5541 S Peoria St Chicago  IL 60621,12.26%,9.16%,7,2,3418,duplex,"$261,154.50","$255,000","$3,500",$600,$254.50,3.10%,9.16%,"$1,667.33","$1,110","$1,900.26",$500,"$26,302.41","$2,191.87",$7.60,$7.40,$47.77,$62.77,$15.19,$14.81,$47.77,$77.77,$30.38,$29.62,$47.77,$107.77,$45.57,$44.43,$47.77,$137.77
9634 S Green St Chicago  IL 60643,10.13%,7.03%,3,1,1760,single family,"$177,575.59","$151,500","$1,500",$200,$0,3.10%,7.03%,"$2,232.04",$982,"$1,008.90",$500,"$12,477.06","$1,039.75",$18.92,$8.52,$54.99,$82.43,$37.83,$17.05,$54.99,$109.87,$75.67,$34.09,$54.99,$164.75,$113.50,$51.14,$54.99,$219.63
1039 Mt Vernon Rd Memphis  TN 38111,7.12%,6.42%,2,1,1108,single family,"$115,974.48","$98,000","$1,500",$600,"$1,523.46",0.70%,6.42%,"$1,009.64",$936,$603.75,$500,"$7,450.61",$620.88,$17.10,$1.92,$54.89,$73.91,$34.20,$3.84,$54.89,$92.93,$68.39,$7.68,$54.89,$130.97,$102.59,$11.53,$54.89,$169.01
4326 E 175th St Cleveland  OH 44128,8.26%,7.56%,2,1,704,single family,"$95,340.32","$80,000","$1,500",$600,"$4,000",0.70%,7.56%,"$1,621.82",$606,$864,$500,"$7,208.18",$600.68,$19.18,$1.93,$55.05,$76.16,$38.37,$3.85,$55.05,$97.27,$76.74,$7.71,$55.05,$139.50,$115.11,$11.56,$55.05,$181.72
296 Huntington Ave Akron  OH 44306,12.50%,11%,4,1.5,1130,single family,"$95,315.94","$89,000","$1,170",$600,"$1,000.89",1.50%,11%,"$1,200.52","$1,046.27",$450,$500,"$10,483.21",$873.60,$26.90,$3.65,$48.60,$79.15,$53.80,$7.29,$48.60,$109.69,$107.60,$14.58,$48.60,$170.78,$161.40,$21.87,$48.60,$231.87
29172 Oakwood St Inkster  MI 48141,6.67%,7.17%,3,1,1053,single family,"$111,562.75","$97,000","$1,500",$600,$0,-0.50%,7.17%,"$3,005.17",$774.96,$924,$500,"$7,995.87",$666.32,$19.18,-$1.34,$53.50,$71.34,$38.36,-$2.68,$53.50,$89.18,$76.72,-$5.35,$53.50,$124.87,$115.08,-$8.03,$53.50,$160.55
3493 W 119th St Cleveland  Ohio 44111,11.31%,9.21%,2,1,1096,single family,"$103,321.34","$99,100","$1,263",$600,"$2,358.34",2.10%,9.21%,"$1,615.82",$645,$924,$500,"$9,515.18",$792.93,$22.82,$5.11,$48.70,$76.63,$45.63,$10.23,$48.70,$104.56,$91.26,$20.45,$48.70,$160.42,$136.90,$30.68,$48.70,$216.28
3031 W Flournoy St Chicago  IL 60612,8.80%,7.60%,6,2,2500,duplex,"$309,415.87","$305,000","$3,500",$600,"$1,087.81",1.20%,7.60%,"$1,397.04","$1,998","$1,764.33",$500,"$23,524.63","$1,960.39",$10.18,$2.84,$47.33,$60.35,$20.35,$5.68,$47.33,$73.36,$40.70,$11.36,$47.33,$99.39,$61.06,$17.04,$47.33,$125.42
432 W Peebles Rd Memphis  TN 38109,8.45%,8.85%,3,1,1041,single family,"$95,091.65","$88,161","$1,100",$600,"$5,230.65",-0.40%,8.85%,$467.53,$745,$612.18,$500,"$8,415.29",$701.27,$21.15,-$0.99,$49.25,$69.42,$42.31,-$1.97,$49.25,$89.59,$84.61,-$3.94,$49.25,$129.92,$126.92,-$5.91,$49.25,$170.26
16171 Ilene St Detroit  MI 48221,8.13%,8.53%,3,1,1323,,"$144,475.81","$124,000","$1,500",$200,$645.52,-0.40%,8.53%,$795.45,$887.64,"$1,092",$500,"$12,324.91","$1,027.08",$23.28,-$1.09,$54.32,$76.51,$46.55,-$2.17,$54.32,$98.70,$93.10,-$4.35,$54.32,$143.08,$139.66,-$6.52,$54.32,$187.46
251 Wachtel Ave St Louis  MO 63125,9.21%,6.31%,2,1,1386,single family,"$141,332.08","$127,500","$1,500",$200,$986.28,2.90%,6.31%,"$1,815.23","$1,302","$1,089.60",$500,"$8,913.17",$742.76,$16.09,$7.56,$52.14,$75.79,$32.17,$15.12,$52.14,$99.43,$64.34,$30.24,$52.14,$146.72,$96.51,$45.36,$52.14,$194.01
566 Nash St Akron  OH 44306,11.82%,10.32%,5,2,1574,single family,"$100,395.54","$90,000","$1,150",$600,"$4,773.38",1.50%,10.32%,"$1,809.41",$978,$450,$500,"$10,362.59",$863.55,$26.28,$3.78,$50.39,$80.45,$52.56,$7.56,$50.39,$110.51,$105.11,$15.12,$50.39,$170.62,$157.67,$22.68,$50.39,$230.74
4183 E 146th St Cleveland  OH 44128,12.04%,10.44%,3,1,1312,single family,"$93,210.54","$83,500","$1,200",$600,"$3,775.45",1.60%,10.44%,$963.16,$994,"$1,008",$500,"$9,734.84",$811.24,$26.46,$4.02,$50.26,$80.74,$52.92,$8.04,$50.26,$111.23,$105.85,$16.08,$50.26,$172.19,$158.77,$24.12,$50.26,$233.16
542 Sumner St Akron  OH 44304,10.08%,8.48%,5,2,1428,single family,"$128,667.84","$120,000","$1,800",$600,$0,1.60%,8.48%,"$1,496.82","$1,283.29",$450,$500,"$10,909.89",$909.16,$20.86,$3.94,$49.31,$74.11,$41.72,$7.89,$49.31,$98.92,$83.43,$15.78,$49.31,$148.52,$125.15,$23.67,$49.31,$198.13
25 Circle Dr Dixmoor  IL 60426,12.11%,9.21%,4,1,984,single family,"$153,311.53","$130,000","$2,500",$600,"$8,770.36",2.90%,9.21%,"$2,256.58",$665,"$1,060.20",$500,"$14,118.22","$1,176.52",,,,,,,,,,,,,,,,
10917 Fidelity Ave Cleveland  OH 44111,8.91%,6.81%,4,2,1364,single family,"$166,931.94","$146,000","$1,500",$600,"$6,375.37",2.10%,6.81%,"$2,003.01","$1,191.27","$1,310.40",$500,"$11,375.32",$947.94,$19.19,$5.57,$53.08,$77.84,$38.38,$11.15,$53.08,$102.60,$76.75,$22.29,$53.08,$152.13,$115.13,$33.44,$53.08,$201.65
3106 Quiet Lane St. Louis  MO 63114,9.99%,7.29%,2,1,1300,single family,"$101,978.70","$95,750","$1,500",$600,"$4,128.70",2.70%,7.29%,"$1,793.33",$656,"$1,020",$500,"$7,430.67",$619.22,$15.32,$6.68,$49.49,$71.49,$30.63,$13.36,$49.49,$93.49,$61.27,$26.72,$49.49,$137.48,$91.90,$40.09,$49.49,$181.48
3535 Debby Dr Memphis  TN 38127,5.99%,6.89%,3,1,1200,single family,"$116,872.19","$99,000","$1,500",$600,$0,-0.90%,6.89%,"$1,011.20",$846,$629.28,$500,"$8,053.52",$671.13,$18.33,-$2.47,$54.87,$70.73,$36.65,-$4.94,$54.87,$86.58,$73.31,-$9.88,$54.87,$118.30,$109.96,-$14.81,$54.87,$150.01
1133 Bethany Ave Akron  Ohio 44305,11.09%,9.49%,3,1,960,single family,"$80,147.91","$71,000",$680,$600,"$2,135.51",1.60%,9.49%,$797.84,$586,$714,$500,"$7,602.16",$633.51,$24.58,$4.08,$50.95,$79.61,$49.17,$8.15,$50.95,$108.27,$98.33,$16.30,$50.95,$165.59,$147.50,$24.46,$50.95,$222.91
1845 W 48th St Cleveland  Ohio 44102,12.18%,9.28%,6,2,2294,duplex,"$192,521.01","$195,500","$1,955",$600,"$1,065.50",2.90%,9.28%,"$2,688.82",$923,"$1,910.40",$500,"$17,857.78","$1,488.15",$4.59,$6.59,$45.42,$56.59,$9.17,$13.17,$45.42,$67.77,$18.35,$26.34,$45.42,$90.11,$27.52,$39.52,$45.42,$112.46
4920 E 110th St Garfield Heights  OH 44125,8.04%,6.14%,3,2,1100,,"$133,784.62","$112,500","$1,500",$200,"$3,341.64",1.90%,6.14%,"$2,815.65",$838,"$1,075.20",$500,"$8,211.15",$684.26,$16.55,$5.26,$55.35,$77.16,$33.10,$10.52,$55.35,$98.97,$66.20,$21.03,$55.35,$142.58,$99.30,$31.55,$55.35,$186.20
13806 Coit Rd Cleveland  OH 44110,11.84%,9.94%,4,2,2090,single family,"$93,162.07","$85,000","$1,250",$600,"$1,951.23",1.90%,9.94%,$879.49,"$1,360",$919.80,$500,"$9,264.71",$772.06,$24.76,$4.70,$49.47,$78.93,$49.52,$9.40,$49.47,$108.39,$99.04,$18.80,$49.47,$167.31,$148.56,$28.20,$49.47,$226.23
9902 Garfield Ave Cleveland  Ohio 44108,11.31%,9.31%,3,1,1216,single family,"$92,547.65","$78,500","$1,130",$600,"$4,109.53",2%,9.31%,$471.90,$864,"$1,093.44",$500,"$8,614.66",$717.89,$24.74,$5.29,$52.92,$82.95,$49.48,$10.58,$52.92,$112.98,$98.96,$21.17,$52.92,$173.05,$148.44,$31.75,$52.92,$233.11
3557 Carrington Rd Memphis  TN 38111,9.63%,6.83%,2,1,846,single family,"$125,831.14","$103,000","$4,000",$0,$397.74,2.80%,6.83%,$879.55,$660.14,$751.80,$0,"$8,588.45",$715.70,$15.67,$8.56,$61.11,$85.34,$31.35,$17.11,$61.11,$109.57,$62.70,$34.22,$61.11,$158.03,$94.05,$51.33,$61.11,$206.49
254 Bowmanville St Akron  Ohio 44305,12.22%,10.62%,3,1,1024,single family,"$104,165.28","$92,000",$960,$600,"$5,164.12",1.60%,10.62%,"$1,037.08",$792,"$1,008",$500,"$11,062.92",$921.91,$27.53,$4.09,$51.07,$82.68,$55.05,$8.17,$51.07,$114.29,$110.11,$16.34,$51.07,$177.52,$165.16,$24.51,$51.07,$240.74
3850 W 17th St Cleveland  Ohio 44109,12.01%,9.91%,4,2,1820,duplex,"$155,426.26","$147,000","$1,470",$600,"$6,356.26",2.10%,9.91%,"$1,260.37","$1,251","$1,386",$500,"$15,402.63","$1,283.55",$24.18,$5.11,$48.66,$77.95,$48.37,$10.22,$48.66,$107.25,$96.74,$20.44,$48.66,$165.83,$145.10,$30.66,$48.66,$224.42
